data-revisit-plants_info-on-date_tagged,data-revisit-plants_info-site_code_tagged,tag.no,sci.name,data-revisit-plants_info-deadalive,data-revisit-plants_info-height,data-revisit-plants_info-rcd,data-revisit-plants_info-yes_no1,data-revisit-plants_info-disturbance,data-revisit-plants_info-flame_h,data-revisit-plants_info-yes_no,data-revisit-plants_info-spot,data-revisit-plants_info-photo_bud,PARENT_KEY,KEY
2021-05-30T09:02:00.000+05:30,APA12-all_burnt,4909,Wrightia tinctoria,alive,62,1.3,yes,fire,140,yes,collar,https://drive.google.com/open?id=1MV81SflQXU5EWemqAzQbmkvzyuUIul1i,uuid:a2872d2b-30f9-4247-b68d-b76514d0952d,uuid:a2872d2b-30f9-4247-b68d-b76514d0952d/revisit[2]
2021-05-30T09:02:00.000+05:30,APA12-all_burnt,4908,Dalbergia paniculata,alive,80,2.2,yes,fire,140,yes,collar,https://drive.google.com/open?id=1JuZOm39m1H5TGvoYlzarreCFsvLMYKe5,uuid:a2872d2b-30f9-4247-b68d-b76514d0952d,uuid:a2872d2b-30f9-4247-b68d-b76514d0952d/revisit[3]
2021-05-30T09:02:00.000+05:30,APA12-all_burnt,4907,Dalbergia paniculata,alive,24,0.3,yes,fire,160,yes,collar,https://drive.google.com/open?id=12HhCvQEi41s7_AXX6o91YyMCEczUTWxW,uuid:a2872d2b-30f9-4247-b68d-b76514d0952d,uuid:a2872d2b-30f9-4247-b68d-b76514d0952d/revisit[4]
2021-05-30T09:02:00.000+05:30,APA12-all_burnt,4906,Dalbergia paniculata,alive,56,1.2,yes,fire,150,yes,collar,https://drive.google.com/open?id=19lDBiFy5AvqzRafRbPHgS2TmrU_ozPg7,uuid:a2872d2b-30f9-4247-b68d-b76514d0952d,uuid:a2872d2b-30f9-4247-b68d-b76514d0952d/revisit[5]
2021-05-30T09:02:00.000+05:30,APA12-all_burnt,4905,Dalbergia paniculata,alive,60,0.8,yes,fire,150,yes,collar,https://drive.google.com/open?id=1pKx-ousTzYF6sMB4sPgqC_wuUQTG-iYN,uuid:a2872d2b-30f9-4247-b68d-b76514d0952d,uuid:a2872d2b-30f9-4247-b68d-b76514d0952d/revisit[6]
2021-05-30T09:02:00.000+05:30,APA12-all_burnt,4904,Azadirachata indica,alive,50,0.8,yes,fire,140,yes,collar,https://drive.google.com/open?id=1ikrgs5tIOo1dfiRSxAV1rLtKNabuxr2s,uuid:a2872d2b-30f9-4247-b68d-b76514d0952d,uuid:a2872d2b-30f9-4247-b68d-b76514d0952d/revisit[7]
2021-05-30T09:02:00.000+05:30,APA12-all_burnt,4903,Cassia fistula,alive,20,1.5,yes,fire,100,yes,collar,https://drive.google.com/open?id=1XeBQdpbpruvUHTz8UnaHUCsbtI5SKHCY,uuid:a2872d2b-30f9-4247-b68d-b76514d0952d,uuid:a2872d2b-30f9-4247-b68d-b76514d0952d/revisit[8]
2021-05-30T09:02:00.000+05:30,APA12-all_burnt,4902,Cassia fistula,alive,62,0.9,yes,fire,100,yes,collar,https://drive.google.com/open?id=1FCOs-GkX5faFwpndyxFqsuqIqiVc5uKF,uuid:a2872d2b-30f9-4247-b68d-b76514d0952d,uuid:a2872d2b-30f9-4247-b68d-b76514d0952d/revisit[9]
2021-05-30T09:02:00.000+05:30,APA12-all_burnt,4901,Cassia fistula,alive,65,2.6,yes,fire,160,yes,collar,https://drive.google.com/open?id=18Vu6HabMW8v9jPJch6ecXsZOsrI519wc,uuid:a2872d2b-30f9-4247-b68d-b76514d0952d,uuid:a2872d2b-30f9-4247-b68d-b76514d0952d/revisit[10]
2021-05-30T09:02:00.000+05:30,APA12-all_burnt,4800,Cassia fistula,alive,106,1.1,yes,fire,40,yes,epicormic,https://drive.google.com/open?id=1AzfkLZ6MVnN3eTfDfPwLMWATcKwB05VV,uuid:a2872d2b-30f9-4247-b68d-b76514d0952d,uuid:a2872d2b-30f9-4247-b68d-b76514d0952d/revisit[11]
2021-05-30T09:02:00.000+05:30,APA12-all_burnt,4799,Cassia fistula,alive,80,1.6,yes,fire,150,yes,collar,https://drive.google.com/open?id=1SoS2O4scLQjJ8sN4XF11uTGg3KoPmDbd,uuid:a2872d2b-30f9-4247-b68d-b76514d0952d,uuid:a2872d2b-30f9-4247-b68d-b76514d0952d/revisit[12]
2021-05-30T09:02:00.000+05:30,APA12-all_burnt,4798,Dalbergia paniculata,alive,46,1.4,yes,fire,150,yes,collar,https://drive.google.com/open?id=18MjwkHIJn5uLJ6RYp7g9WJRXLagJY36o,uuid:a2872d2b-30f9-4247-b68d-b76514d0952d,uuid:a2872d2b-30f9-4247-b68d-b76514d0952d/revisit[13]
2021-05-30T09:02:00.000+05:30,APA12-all_burnt,4797,Cassia fistula,alive,40,0.7,yes,fire,140,yes,collar,https://drive.google.com/open?id=183cAdjzKoGB-_e2k2hqssSH3wrPispZx,uuid:a2872d2b-30f9-4247-b68d-b76514d0952d,uuid:a2872d2b-30f9-4247-b68d-b76514d0952d/revisit[14]
2021-05-30T09:02:00.000+05:30,APA12-all_burnt,4796,Cassia fistula,alive,60,1.9,yes,fire,110,yes,collar,https://drive.google.com/open?id=1XsePj4UzRn6w-epD51gPVexNq6LlO-Ga,uuid:a2872d2b-30f9-4247-b68d-b76514d0952d,uuid:a2872d2b-30f9-4247-b68d-b76514d0952d/revisit[15]
2021-05-30T09:02:00.000+05:30,APA12-all_burnt,4795,Dalbergia paniculata,alive,70,1.4,yes,fire,140,yes,collar,https://drive.google.com/open?id=1Y21j6yZX10WWPNJ44XhOg0xJ9pzku-SD,uuid:a2872d2b-30f9-4247-b68d-b76514d0952d,uuid:a2872d2b-30f9-4247-b68d-b76514d0952d/revisit[16]
