"treatment","village","site","sci.name","tag.no","h1","rcd1","disturbance","h0","rcd0","LUI","rgr"
"CAFA","APC12","APC12_CAFA","Acacia chundra",4669,150,2.4,"none",98,1.3,1.92,0.613104472886409
"CAFA","APC12","APC12_CAFA","Acacia chundra",4670,210,2.1,"partly_dried",80,1.1,1.92,0.646627164925052
"CAFA","APC12","APC12_CAFA","Acacia chundra",4671,110,1.4,"none",45,0.7,1.92,0.693147180559945
"CAFA","APC12","APC12_CAFA","Acacia chundra",4672,190,3.8,"none",85,0.9,1.92,1.44036158239017
"CAFA","APC12","APC12_CAFA","Acacia chundra",4674,170,3.7,"partly_dried",60,0.8,1.92,1.53147637096439
"CAFA","APC12","APC12_CAFA","Acacia chundra",4675,110,1.6,"none",90,1.7,1.92,-0.0606246218164347
"CAFA","APC12","APC12_CAFA","Acacia chundra",4676,140,2.4,"none",60,1.2,1.92,0.693147180559945
"CAFA","APC12","APC12_CAFA","Wrightia tinctoria",4677,100,1.8,"none",15,2,1.92,-0.105360515657826
"CAFA","APC12","APC12_CAFA","Wrightia tinctoria",4678,70,0.9,"trampled",20,0.3,1.92,1.09861228866811
"CAFA","APC12","APC12_CAFA","Wrightia tinctoria",4679,110,1.3,"none",70,1.2,1.92,0.0800427076735365
"CAFA","APA17","APA17_CAFA","Acacia chundra",4744,170,3.5,"none",68,0.8,0.86,1.47590651980958
"CAFA","APA17","APA17_CAFA","Acacia chundra",4745,120,3.8,"none",75,1,0.86,1.33500106673234
"CAFA","APA17","APA17_CAFA","Wrightia tinctoria",4746,152,4.1,"partly_dried",62,1.1,0.86,1.31567679390594
"CAFA","APA17","APA17_CAFA","Cassia fistula",4747,80,1.1,"trampled",40,0.7,0.86,0.451985123743057
"CAFA","APA17","APA17_CAFA","Dolichandrone atrovirens",4748,100,2.5,"none",92,1.6,0.86,0.446287102628419
"CAFA","APA17","APA17_CAFA","Acacia chundra",4749,160,2.8,"partly_dried",80,1.1,0.86,0.934309237376833
"CAFA","APA17","APA17_CAFA","Acacia chundra",4750,80,1.4,"none",80,0.9,0.86,0.441832752279039
"CAFA","APA17","APA17_CAFA","Cassia fistula",4751,110,2.1,"none",69,0.9,0.86,0.847297860387204
"CAFA","APA17","APA17_CAFA","Dolichandrone atrovirens",4752,80,1.9,"trampled",60,1.1,0.86,0.54654370636807
"CAFA","APA17","APA17_CAFA","Acacia chundra",4754,120,2.2,"partly_dried",50,0.5,0.86,1.48160454092422
"CAFA","APA17","APA17_CAFA","Acacia chundra",4755,160,3.8,"none",85,1.5,0.86,0.929535958624176
"CAFA","APA17","APA17_CAFA","Acacia chundra",4756,120,2.1,"none",76,0.9,0.86,0.847297860387204
"CAFA","APA17","APA17_CAFA","Dolichandrone atrovirens",4757,115,1.7,"none",80,1.2,0.86,0.348306694268216
"CAFA","APA17","APA17_CAFA","Dolichandrone atrovirens",4758,100,1.2,"browsed",74,1.7,0.86,-0.348306694268216
"CAFA","APA17","APA17_CAFA","Acacia chundra",4759,80,2.2,"partly_dried",70,0.6,0.86,1.29928298413026
"CAFA","APA17","APA17_CAFA","Dolichandrone atrovirens",4760,95,1.2,"none",40,1.1,0.86,0.0870113769896297
"CAFA","APA17","APA17_CAFA","Dolichandrone atrovirens",4761,140,2.8,"none",55,0.6,0.86,1.54044504094715
"CAFA","APA17","APA17_CAFA","Dolichandrone atrovirens",4762,210,2.9,"none",70,1.3,0.86,0.802346472524937
"CAFA","APA17","APA17_CAFA","Dolichandrone atrovirens",4763,115,2.1,"none",28,0.8,0.86,0.965080896043587
"CAFA","APA17","APA17_CAFA","Acacia chundra",4764,130,3.1,"none",74,0.8,0.86,1.35454566280531
"CAFA","APA17","APA17_CAFA","Dolichandrone atrovirens",4765,120,2.1,"none",36,0.8,0.86,0.965080896043587
"CAFA","APA17","APA17_CAFA","Acacia chundra",4766,80,2.2,"partly_dried",60,0.8,0.86,1.01160091167848
"CAFA","APA17","APA17_CAFA","Acacia chundra",4767,130,2.3,"none",80,0.8,0.86,1.05605267424931
"CAFA","APA17","APA17_CAFA","Acacia chundra",4768,100,1.7,"none",17,3,0.86,-0.567984037605939
"CAFA","APA16","APA16_CAFA","Wrightia tinctoria",4769,40,1.9,"partly_dried",60,1.8,0.58,0.0540672212702756
"CAFA","APA16","APA16_CAFA","Dolichandrone atrovirens",4770,110,1.1,"none",18,0.7,0.58,0.451985123743057
"CAFA","APA16","APA16_CAFA","Dolichandrone atrovirens",4771,75,1.8,"browsed",52,1.2,0.58,0.405465108108164
"CAFA","APA16","APA16_CAFA","Dolichandrone atrovirens",4772,90,1.3,"none",13,0.7,0.58,0.619039208406224
"CAFA","APA16","APA16_CAFA","Dolichandrone atrovirens",4774,110,1.6,"none",80,1.9,0.58,-0.171850256926659
"CAFA","APA16","APA16_CAFA","Wrightia tinctoria",4775,130,3.7,"none",22,0.6,0.58,1.81915844341617
"CAFA","APA16","APA16_CAFA","Dolichandrone atrovirens",4776,90,1.9,"browsed",18,0.6,0.58,1.15267950993839
"CAFA","APA16","APA16_CAFA","Premna tomentosa",4777,16,0.7,"partly_dried",60,0.9,0.58,-0.251314428280906
"CAFA","APA16","APA16_CAFA","Acacia chundra",4778,70,1.7,"none",40,0.5,0.58,1.22377543162212
"CAFA","APA16","APA16_CAFA","Dolichandrone atrovirens",4779,30,1.1,"none",30,0.7,0.58,0.451985123743057
"CAFA","APA16","APA16_CAFA","Wrightia tinctoria",4780,140,3.1,"none",40,0.4,0.58,2.04769284336526
"CAFA","APA16","APA16_CAFA","Acacia chundra",4782,45,0.7,"partly_dried",75,0.7,0.58,0
"CAFA","APA16","APA16_CAFA","Acacia chundra",4783,40,1.2,"partly_dried",100,1.1,0.58,0.0870113769896297
"CAFA","APA16","APA16_CAFA","Acacia chundra",4784,90,1.6,"none",70,0.8,0.58,0.693147180559945
"CAFA","APA16","APA16_CAFA","Azadirachata indica",4785,50,0.6,"none",37,0.6,0.58,0
"CAFA","APA16","APA16_CAFA","Albizia amara",4786,50,0.9,"none",45,0.5,0.58,0.587786664902119
"CAFA","APA16","APA16_CAFA","Wrightia tinctoria",4787,56,0.8,"none",55,1.7,0.58,-0.75377180237638
"CAFA","APA12","APA12_CAFA","Azadirachata indica",4910,55,1,"browsed",70,1.2,1.56,-0.182321556793955
"CAFA","APA12","APA12_CAFA","Erythroxylum monogynum",4911,90,0.8,"none",60,0.8,1.56,0
"CAFA","APA12","APA12_CAFA","Azadirachata indica",4912,36,0.6,"none",50,0.4,1.56,0.405465108108164
"CAFA","APA12","APA12_CAFA","Albizia amara",4914,35,0.8,"none",10,2,1.56,-0.916290731874155
"CAFA","APA12","APA12_CAFA","Dalbergia paniculata",4915,148,1.5,"none",80,2.2,1.56,-0.382992252256106
"CAFA","APA12","APA12_CAFA","Albizia amara",4916,120,1.5,"none",19,0.5,1.56,1.09861228866811
