"treatment","village","site","sci.name","tag.no","h1","rcd1","disturbance","h0","rcd0","LUI","rgr"
"CPFA","APA19","APA19_CPFA","Dolichandrone atrovirens",3410,21,1.2,"browsed",34,0.5,1.65,0.8754687373539
"CPFA","APA19","APA19_CPFA","Ziziphus mauritiana",3413,22,1.9,"partly_dried",16,0.6,1.65,1.15267950993839
"CPFA","APC13","APC13_CPFA","Tectona grandis",3461,21,1.3,"partly_dried",NA,NA,NA,NA
"CPFA","APC7","APC7_CPFA","Chloroxylon swietenia",3701,59,2.7,"browsed",48,1,0.41,0.993251773010283
"CPFA","APC7","APC7_CPFA","Chloroxylon swietenia",3702,70,1.2,"none",40,1.3,0.41,-0.0800427076735365
"CPFA","APC7","APC7_CPFA","Chloroxylon swietenia",3704,88,1.2,"browsed",40,1.5,0.41,-0.22314355131421
"CPFA","APC7","APC7_CPFA","Chloroxylon swietenia",3705,80,2.1,"none",29,1,0.41,0.741937344729377
"CPFA","APC7","APC7_CPFA","Chloroxylon swietenia",3706,80,1.2,"none",55,1.7,0.41,-0.348306694268216
"CPFA","APC7","APC7_CPFA","Chloroxylon swietenia",3707,45,1.8,"browsed",65,1.3,0.41,0.325422400434628
"CPFA","APC7","APC7_CPFA","Chloroxylon swietenia",3708,50,2,"browsed",36,1,0.41,0.693147180559945
"CPFA","APC2","APC2_CPFA","Pongamia pinnata",3716,40,4,"partly_dried",37,1.6,1.2,0.916290731874155
"CPFA","APC7","APC7_CPFA","Chloroxylon swietenia",3719,38,2.4,"none",51,1.3,0.41,0.613104472886409
"CPFA","APC7","APC7_CPFA","Chloroxylon swietenia",3723,135,3.7,"none",33,1,0.41,1.30833281965018
"CPFA","APC7","APC7_CPFA","Chloroxylon swietenia",3728,110,3.2,"none",86,1.9,0.41,0.521296923633286
"CPFA","APC7","APC7_CPFA","Chloroxylon swietenia",3733,70,1.9,"none",65,1.5,0.41,0.23638877806423
"CPFA","APC7","APC7_CPFA","Chloroxylon swietenia",3741,120,3.2,"none",21,0.4,0.41,2.07944154167984
"CPFA","APC7","APC7_CPFA","Chloroxylon swietenia",3742,90,2.1,"none",33,1,0.41,0.741937344729377
"CPFA","APC7","APC7_CPFA","Chloroxylon swietenia",3743,30,0.8,"trampled",74,1.1,0.41,-0.318453731118535
"CPFA","APC7","APC7_CPFA","Chloroxylon swietenia",3744,105,2.1,"none",47,1.9,0.41,0.100083458556983
"CPFA","APC7","APC7_CPFA","Chloroxylon swietenia",3745,70,1.5,"none",85,1.8,0.41,-0.182321556793955
"CPFA","APC2","APC2_CPFA","Tectona grandis",3746,90,2.4,"none",NA,NA,NA,NA
"CPFA","APC7","APC7_CPFA","Chloroxylon swietenia",3746,75,2,"none",91,1.8,0.41,0.105360515657826
"CPFA","APC2","APC2_CPFA","Tectona grandis",3747,70,2,"none",NA,NA,NA,NA
"CPFA","APC7","APC7_CPFA","Chloroxylon swietenia",3747,110,2.2,"none",86,2.3,0.41,-0.0444517625708336
"CPFA","APC7","APC7_CPFA","Chloroxylon swietenia",3748,75,2.6,"none",81,1.1,0.41,0.860201265223111
"CPFA","APC13","APC13_CPFA","Pongamia pinnata",3749,142,2.5,"none",42,2.8,0.41,-0.113328685307003
"CPFA","APC7","APC7_CPFA","Cassia fistula",3749,120,2.8,"none",65,1.4,0.41,0.693147180559945
"CPFA","APC7","APC7_CPFA","Chloroxylon swietenia",3750,27,2.1,"browsed",25,1,0.41,0.741937344729377
"CPFA","APC2","APC2_CPFA","Wrightia tinctoria",3751,84,3.1,"none",33,0.5,1.2,1.82454929205105
"CPFA","APC13","APC13_CPFA","Pongamia pinnata",3753,37,1.3,"none",47,0.8,0.41,0.485507815781701
"CPFA","APC2","APC2_CPFA","Pongamia pinnata",3754,15,0.8,"trampled",18,0.6,1.2,0.287682072451781
"CPFA","APC13","APC13_CPFA","Pongamia pinnata",3759,65,1.5,"partly_dried",43,1.7,0.41,-0.125163142954006
"CPFA","APC7","APC7_CPFA","Chloroxylon swietenia",3759,81,2.5,"browsed",77,0.8,0.41,1.13943428318836
"CPFA","APC13","APC13_CPFA","Hardwickia binata",3760,69,2.8,"none",28,1.5,0.41,0.624154309072994
"CPFA","APC13","APC13_CPFA","Tectona grandis",3762,120,1,"none",NA,NA,NA,NA
"CPFA","APC13","APC13_CPFA","Tectona grandis",3763,25,2.7,"partly_dried",NA,NA,NA,NA
"CPFA","APC13","APC13_CPFA","Pongamia pinnata",3764,77,2.8,"none",56,1.6,0.41,0.559615787935422
"CPFA","APC13","APC13_CPFA","Hardwickia binata",3770,90,2.2,"none",23,1.1,0.41,0.693147180559945
"CPFA","APC13","APC13_CPFA","Pongamia pinnata",3771,41,2.1,"none",45,1.5,0.41,0.336472236621213
"CPFA","APC13","APC13_CPFA","Tectona grandis",3773,77,3.3,"none",NA,NA,NA,NA
"CPFA","APC13","APC13_CPFA","Hardwickia binata",3777,32,2.1,"browsed",20,0.8,0.41,0.965080896043587
"CPFA","APC13","APC13_CPFA","Pongamia pinnata",3779,52,2.7,"partly_dried",42,1.3,0.41,0.730887508542792
"CPFA","APC13","APC13_CPFA","Hardwickia binata",3780,100,3.1,"none",26,1.6,0.41,0.661398482245365
"CPFA","APC13","APC13_CPFA","Hardwickia binata",3781,250,5.1,"none",22,1,0.41,1.62924053973028
"CPFA","APC13","APC13_CPFA","Hardwickia binata",3782,53,3,"none",29,1.5,0.41,0.693147180559945
"CPFA","APC13","APC13_CPFA","Pongamia pinnata",3785,15,2.1,"partly_dried",45,1.3,0.41,0.479573080261886
"CPFA","APA15","APA15_CPFA","Wrightia tinctoria",3867,25,1.1,"trampled",70,1.5,0.69,-0.310154928303839
"CPFA","APA15","APA15_CPFA","Wrightia tinctoria",3868,32,2.3,"trampled",82,2.5,0.69,-0.0833816089390512
"CPFA","APA15","APA15_CPFA","Wrightia tinctoria",3869,31,2.7,"partly_dried",33,2.6,0.69,0.0377403279828471
"CPFA","APA15","APA15_CPFA","Wrightia tinctoria",3870,45,2.1,"none",60,1.8,0.69,0.154150679827258
"CPFA","APA15","APA15_CPFA","Wrightia tinctoria",3871,47,2.4,"none",90,1.9,0.69,0.233614851181505
"CPFA","APA15","APA15_CPFA","Wrightia tinctoria",3872,109,2.5,"none",68,1.5,0.69,0.510825623765991
"CPFA","APA15","APA15_CPFA","Wrightia tinctoria",3874,123,3.7,"none",32,1.8,0.69,0.72054615474806
"CPFA","APA10","APA10_CPFA","Dolichandrone atrovirens",3901,66,3.2,"none",20,1.4,0.5,0.826678573184468
"CPFA","APA10","APA10_CPFA","Dolichandrone atrovirens",3902,44,2.1,"none",33,0.5,0.5,1.43508452528932
"CPFA","APA10","APA10_CPFA","Dolichandrone atrovirens",3903,12,2.1,"browsed",49,2.1,0.5,0
"CPFA","APA10","APA10_CPFA","Dolichandrone atrovirens",3904,44,2,"browsed",31,0.5,0.5,1.38629436111989
"CPFA","APA10","APA10_CPFA","Dolichandrone atrovirens",3906,110,2.1,"none",30,0.6,0.5,1.25276296849537
"CPFA","APA7","APA7_CPFA","Dolichandrone atrovirens",3927,50,2.3,"browsed",67,1.4,0.47,0.496436886313891
"CPFA","APA7","APA7_CPFA","Dolichandrone atrovirens",3956,110,2.5,"none",48,0.9,0.47,1.02165124753198
"CPFA","APA7","APA7_CPFA","Dolichandrone atrovirens",3973,55,2.6,"none",46,0.4,0.47,1.87180217690159
"CPFA","APA10","APA10_CPFA","Dolichandrone atrovirens",3974,140,3.4,"none",30,0.7,0.5,1.58045037556085
"CPFA","APA10","APA10_CPFA","Dolichandrone atrovirens",3975,90,2.8,"none",44,0.9,0.5,1.13497993283898
"CPFA","APA10","APA10_CPFA","Dolichandrone atrovirens",3976,30,0.8,"none",39,0.5,0.5,0.470003629245736
"CPFA","APA10","APA10_CPFA","Dolichandrone atrovirens",3977,40,1.2,"browsed",27,0.5,0.5,0.8754687373539
"CPFA","APA7","APA7_CPFA","Dolichandrone atrovirens",3980,45,1.2,"none",43,0.8,0.47,0.405465108108164
"CPFA","APA7","APA7_CPFA","Dolichandrone atrovirens",3981,70,1.8,"none",35,0.4,0.47,1.50407739677627
"CPFA","APA7","APA7_CPFA","Dolichandrone atrovirens",3984,25,1,"browsed",79,1.9,0.47,-0.641853886172395
"CPFA","APA7","APA7_CPFA","Dolichandrone atrovirens",3986,120,2.5,"none",48,0.6,0.47,1.42711635564015
"CPFA","APA7","APA7_CPFA","Tectona grandis",3987,90,2.5,"none",NA,NA,NA,NA
"CPFA","APC12","APC12_CPFA","Acacia chundra",4680,100,1.2,"none",80,1.1,1.74,0.0870113769896297
"CPFA","APC12","APC12_CPFA","Acacia chundra",4683,130,2.1,"none",75,1,1.74,0.741937344729377
"CPFA","APC12","APC12_CPFA","Acacia chundra",4684,105,1.7,"none",50,0.8,1.74,0.75377180237638
"CPFA","APC12","APC12_CPFA","Acacia chundra",4685,40,2.7,"trampled",70,0.9,1.74,1.09861228866811
"CPFA","APC12","APC12_CPFA","Acacia chundra",4686,45,1.1,"none",60,0.6,1.74,0.606135803570316
"CPFA","APC12","APC12_CPFA","Acacia chundra",4687,100,3.1,"none",45,0.6,1.74,1.64222773525709
"CPFA","APC12","APC12_CPFA","Acacia chundra",4688,90,1.8,"none",60,0.8,1.74,0.810930216216329
"CPFA","APC12","APC12_CPFA","Acacia chundra",4689,90,1.9,"none",60,0.6,1.74,1.15267950993839
"CPFA","APC12","APC12_CPFA","Acacia chundra",4690,100,1.2,"none",70,0.8,1.74,0.405465108108164
"CPFA","APC12","APC12_CPFA","Acacia chundra",4691,90,1.8,"none",90,0.9,1.74,0.693147180559945
"CPFA","APC12","APC12_CPFA","Acacia chundra",4692,80,0.8,"none",91,0.8,1.74,0
"CPFA","APC12","APC12_CPFA","Acacia chundra",4693,80,1.2,"none",40,0.5,1.74,0.8754687373539
"CPFA","APC12","APC12_CPFA","Acacia chundra",4694,130,1.6,"none",80,0.9,1.74,0.575364144903562
"CPFA","APC12","APC12_CPFA","Acacia chundra",4695,90,1.1,"none",60,0.5,1.74,0.78845736036427
"CPFA","APC12","APC12_CPFA","Acacia chundra",4696,90,1.8,"none",100,1,1.74,0.587786664902119
"CPFA","APC12","APC12_CPFA","Acacia chundra",4697,90,1.7,"none",75,0.9,1.74,0.635988766719997
"CPFA","APC12","APC12_CPFA","Acacia chundra",4698,170,1.4,"none",80,0.9,1.74,0.441832752279039
"CPFA","APC12","APC12_CPFA","Acacia chundra",4699,70,0.6,"partly_dried",70,1.6,1.74,-0.980829253011726
"CPFA","APA17","APA17_CPFA","Dolichandrone atrovirens",4733,130,1.8,"browsed",95,1.6,0.58,0.117783035656383
"CPFA","APA17","APA17_CPFA","Acacia chundra",4734,80,0.7,"none",56,0.6,0.58,0.154150679827258
"CPFA","APA17","APA17_CPFA","Dolichandrone atrovirens",4735,170,2.3,"none",55,1.1,0.58,0.737598943130779
"CPFA","APA17","APA17_CPFA","Dolichandrone atrovirens",4736,130,1.5,"none",93,1.7,0.58,-0.125163142954006
"CPFA","APA17","APA17_CPFA","Cassia fistula",4737,140,1.8,"none",80,2.7,0.58,-0.405465108108164
"CPFA","APA17","APA17_CPFA","Dolichandrone atrovirens",4738,160,3.1,"none",90,2.2,0.58,0.34294475112683
"CPFA","APA17","APA17_CPFA","Acacia chundra",4739,160,3.2,"partly_dried",90,1.8,0.58,0.575364144903562
"CPFA","APA17","APA17_CPFA","Dolichandrone atrovirens",4740,60,1.8,"none",90,2.5,0.58,-0.328504066972036
"CPFA","APA17","APA17_CPFA","Acacia chundra",4741,100,2.9,"partly_dried",60,0.5,0.58,1.75785791755237
"CPFA","APA17","APA17_CPFA","Dolichandrone atrovirens",4742,110,2.3,"none",62,1.7,0.58,0.302280871872934
"CPFA","APA21","APA21_CPFA","Dalbergia paniculata",4919,60,0.4,"partly_dried",80,0.9,0.29,-0.810930216216329
"CPFA","APA21","APA21_CPFA","Wrightia tinctoria",4920,40,2.5,"trampled",40,0.7,0.29,1.27296567581289
"CPFA","APA21","APA21_CPFA","Dalbergia paniculata",4921,145,3.1,"none",42,0.5,0.29,1.82454929205105
"CPFA","APA21","APA21_CPFA","Wrightia tinctoria",4922,20,1.2,"partly_dried",40,0.7,0.29,0.538996500732687
"CPFA","APA21","APA21_CPFA","Erythroxylum monogynum",4923,35,0.8,"partly_dried",65,0.6,0.29,0.287682072451781
"CPFA","APA21","APA21_CPFA","Dalbergia paniculata",4925,90,2.1,"none",42,0.6,0.29,1.25276296849537
"CPFA","APA21","APA21_CPFA","Dalbergia paniculata",4926,80,1.2,"partly_dried",40,0.7,0.29,0.538996500732687
"CPFA","APA21","APA21_CPFA","Wrightia tinctoria",4954,40,0.6,"none",35,0.6,0.29,0
"CPFA","APC12","APC12_CPFA","Acacia chundra",3281,80,1.2,"none",80,1.2,1.74,0
"CPFA","APC12","APC12_CPFA","Acacia chundra",3282,140,2.5,"none",85,1.3,1.74,0.653926467406664
"CAFA","APA19","APA19_CAFA","Chloroxylon swietenia",1000,100,2.5,"none",99,2.1,0.43,0.174353387144778
"CAFA","APC1","APC1_CAFA","Diospyros melanoxylon",1001,35,0.9,"none",22,0.5,1.66,0.587786664902119
"CAFA","APA19","APA19_CAFA","Chloroxylon swietenia",1002,149,2.9,"none",99,2.2,0.43,0.276253376628158
"CAFA","APC1","APC1_CAFA","Ziziphus mauritiana",1002,127,1.2,"none",24,0.4,1.66,1.09861228866811
"CAFA","APA19","APA19_CAFA","Chloroxylon swietenia",1003,90,1.6,"none",59,1.5,0.43,0.0645385211375712
"CAFA","APC1","APC1_CAFA","Tectona grandis",1003,48,3.1,"none",NA,NA,NA,NA
"CAFA","APA19","APA19_CAFA","Chloroxylon swietenia",1004,67,1.5,"browsed",70,1.5,0.43,0
"CAFA","APC1","APC1_CAFA","Dolichandrone atrovirens",1005,100,1.3,"none",51,0.6,1.66,0.773189888233482
"CAFA","APC1","APC1_CAFA","Tectona grandis",1006,25,1.3,"none",NA,NA,NA,NA
"CAFA","APC1","APC1_CAFA","Syzygium cumini",1007,88,2.2,"none",NA,NA,NA,NA
"CAFA","APC1","APC1_CAFA","Dolichandrone atrovirens",1008,67,2.4,"none",58,1.9,1.66,0.233614851181505
"CAFA","APA19","APA19_CAFA","Dalbergia paniculata",1009,63,1,"partly_dried",80,0.9,0.43,0.105360515657826
"CAFA","APC1","APC1_CAFA","Dolichandrone atrovirens",1009,38,1.2,"trampled",36,0.9,1.66,0.287682072451781
"CAFA","APC1","APC1_CAFA","Holoptelia intergrifolia",1010,10,0.4,"none",10,0.3,1.66,0.287682072451781
"CAFA","APA19","APA19_CAFA","Chloroxylon swietenia",1011,101,2.6,"none",15,1.6,0.43,0.485507815781701
"CAFA","APC1","APC1_CAFA","Tectona grandis",1011,75,1.8,"none",NA,NA,NA,NA
"CAFA","APC1","APC1_CAFA","Dolichandrone atrovirens",1012,30,1.1,"none",15,0.3,1.66,1.29928298413026
"CAFA","APA19","APA19_CAFA","Chloroxylon swietenia",1013,77,1,"none",74,0.8,0.43,0.22314355131421
"CAFA","APC1","APC1_CAFA","Tectona grandis",1014,29,1.3,"none",NA,NA,NA,NA
"CAFA","APA19","APA19_CAFA","Chloroxylon swietenia",1015,78,1.6,"browsed",99,1,0.43,0.470003629245736
"CAFA","APC1","APC1_CAFA","Dolichandrone atrovirens",1015,80,2.5,"none",20,1,1.66,0.916290731874155
"CAFA","APA19","APA19_CAFA","Dalbergia paniculata",1016,34,0.6,"none",27,0.5,0.43,0.182321556793955
"CAFA","APC1","APC1_CAFA","Dolichandrone atrovirens",1016,150,2.4,"none",63,2.3,1.66,0.042559614418796
"CAFA","APC1","APC1_CAFA","Tectona grandis",1017,60,1.5,"none",NA,NA,NA,NA
"CAFA","APC1","APC1_CAFA","Dolichandrone atrovirens",1018,170,3.5,"none",100,2.1,1.66,0.510825623765991
"CAFA","APC1","APC1_CAFA","Tectona grandis",1019,55,1.9,"none",NA,NA,NA,NA
"CAFA","APA19","APA19_CAFA","Chloroxylon swietenia",1020,66,1.6,"none",50,0.9,0.43,0.575364144903562
"CAFA","APC1","APC1_CAFA","Dolichandrone atrovirens",1020,64,2.4,"none",51,1.5,1.66,0.470003629245735
"CAFA","APC1","APC1_CAFA","Tectona grandis",1021,30,1.6,"none",NA,NA,NA,NA
"CAFA","APA19","APA19_CAFA","Chloroxylon swietenia",1022,108,2,"none",73,1.2,0.43,0.510825623765991
"CAFA","APC1","APC1_CAFA","Tectona grandis",1022,63,1.6,"none",NA,NA,NA,NA
"CAFA","APC1","APC1_CAFA","Tectona grandis",1023,50,0.9,"none",NA,NA,NA,NA
"CAFA","APA19","APA19_CAFA","Chloroxylon swietenia",1024,76,2.4,"none",56,0.7,0.43,1.23214368129263
"CAFA","APC1","APC1_CAFA","Holoptelia intergrifolia",1024,45,0.8,"none",38,0.6,1.66,0.287682072451781
"CAFA","APC1","APC1_CAFA","Tectona grandis",1025,40,1.5,"none",NA,NA,NA,NA
"CAFA","APA19","APA19_CAFA","Chloroxylon swietenia",1027,51,0.9,"none",40,0.6,0.43,0.405465108108164
"CAFA","APC1","APC1_CAFA","Tectona grandis",1027,32,1.3,"none",NA,NA,NA,NA
"CAFA","APA19","APA19_CAFA","Chloroxylon swietenia",1028,105,1.8,"none",86,1.5,0.43,0.182321556793955
"CAFA","APC1","APC1_CAFA","Tectona grandis",1028,43,1.9,"none",NA,NA,NA,NA
"CAFA","APA19","APA19_CAFA","Chloroxylon swietenia",1029,24,2,"none",91,1.2,0.43,0.510825623765991
"CAFA","APC1","APC1_CAFA","Tectona grandis",1029,49,2.4,"none",NA,NA,NA,NA
"CAFA","APA19","APA19_CAFA","Chloroxylon swietenia",1030,140,2.6,"none",90,1.4,0.43,0.619039208406224
"CAFA","APC1","APC1_CAFA","Dolichandrone atrovirens",1030,46,1.5,"none",NA,NA,NA,NA
"CAFA","APC1","APC1_CAFA","Tectona grandis",1031,52,1.5,"none",NA,NA,NA,NA
"CAFA","APC1","APC1_CAFA","Tectona grandis",1032,30,1.5,"none",NA,NA,NA,NA
"CAFA","APC1","APC1_CAFA","Holoptelia intergrifolia",1033,20,0.5,"partly_dried",23,0.5,1.66,0
"CAFA","APC1","APC1_CAFA","Tectona grandis",1034,160,1.6,"none",NA,NA,NA,NA
"CAFA","APC1","APC1_CAFA","Tectona grandis",1035,45,2.1,"none",NA,NA,NA,NA
"CAFA","APC1","APC1_CAFA","Tectona grandis",1036,67,2.4,"none",NA,NA,NA,NA
"CAFA","APC1","APC1_CAFA","Tectona grandis",1040,37,1.8,"none",NA,NA,NA,NA
"CAFA","APC1","APC1_CAFA","Tectona grandis",1043,66,1.8,"none",NA,NA,NA,NA
"CAFA","APC1","APC1_CAFA","Tectona grandis",1044,97,2.5,"none",NA,NA,NA,NA
"CAFA","APC1","APC1_CAFA","Tectona grandis",1045,65,1.6,"none",NA,NA,NA,NA
"CAFA","APC1","APC1_CAFA","Holoptelia intergrifolia",1047,36,0.9,"none",19,0.7,1.66,0.251314428280906
"CAFA","APC1","APC1_CAFA","Holoptelia intergrifolia",1048,47,1,"partly_dried",48,0.9,1.66,0.105360515657826
"CAFA","APC1","APC1_CAFA","Tectona grandis",1049,30,1.3,"none",NA,NA,NA,NA
"CAFA","APC1","APC1_CAFA","Tectona grandis",1051,20,0.7,"none",NA,NA,NA,NA
"CAFA","APC1","APC1_CAFA","Tectona grandis",1052,16,2,"none",NA,NA,NA,NA
"CAFA","APC1","APC1_CAFA","Tectona grandis",1053,47,1.8,"none",NA,NA,NA,NA
"CAFA","APC1","APC1_CAFA","Tectona grandis",1054,24,1.1,"none",NA,NA,NA,NA
"CAFA","APC1","APC1_CAFA","Tectona grandis",1055,40,1.3,"none",NA,NA,NA,NA
"CAFA","APC1","APC1_CAFA","Tectona grandis",1056,80,1.9,"none",NA,NA,NA,NA
"CAFA","APC1","APC1_CAFA","Tectona grandis",1057,67,1.4,"none",NA,NA,NA,NA
"CAFA","APA1","APA1_CAFA","Dalbergia paniculata",1108,24,1.5,"none",NA,NA,NA,NA
"CAFA","APA1","APA1_CAFA","Dalbergia paniculata",1120,22,1.9,"none",NA,NA,NA,NA
"CAFA","APA1","APA1_CAFA","Dalbergia paniculata",1122,53,2.3,"none",NA,NA,NA,NA
"CAFA","APA1","APA1_CAFA","Annona squamosa",1127,70,2,"none",NA,NA,NA,NA
"CAFA","APA18","APA18_CAFA","Dolichandrone atrovirens",1138,15,1.4,"browsed",36,0.8,1.02,0.559615787935423
"CAFA","APA18","APA18_CAFA","Dolichandrone atrovirens",1139,9,1,"browsed",17,0.8,1.02,0.22314355131421
"CAFA","APA18","APA18_CAFA","Dalbergia paniculata",1140,21,1,"partly_dried",38,0.7,1.02,0.356674943938732
"CAFA","APA18","APA18_CAFA","Dalbergia paniculata",1142,23,1.4,"partly_dried",50,0.9,1.02,0.441832752279039
"CAFA","APA18","APA18_CAFA","Dolichandrone atrovirens",1143,23,1.3,"browsed",32,0.6,1.02,0.773189888233482
"CAFA","APA18","APA18_CAFA","Dolichandrone atrovirens",1144,12,2.2,"browsed",43,1.8,1.02,0.200670695462151
"CAFA","APA18","APA18_CAFA","Dolichandrone atrovirens",1145,16,1.1,"browsed",25,0.9,1.02,0.200670695462151
"CAFA","APA18","APA18_CAFA","Dolichandrone atrovirens",1147,36,1.9,"browsed",58,1,1.02,0.641853886172395
"CAFA","APA18","APA18_CAFA","Dolichandrone atrovirens",1152,17,1,"browsed",33,0.6,1.02,0.510825623765991
"CAFA","APA1","APA1_CAFA","Dalbergia paniculata",1221,17,0.6,"none",NA,NA,NA,NA
"CAFA","APA1","APA1_CAFA","Azadirachata indica",1223,39,1.1,"browsed",NA,NA,NA,NA
"CAFA","APA1","APA1_CAFA","Acacia chundra",1224,42,1.5,"none",NA,NA,NA,NA
"CAFA","APA1","APA1_CAFA","Dalbergia paniculata",1225,35,1.2,"none",NA,NA,NA,NA
"CAFA","APA10","APA10_CAFA","Chloroxylon swietenia",1226,37,2.2,"none",NA,NA,NA,NA
"CAFA","APC6","APC6_CAFA","Dolichandrone atrovirens",1300,74,4,"none",42,2.1,2.5,0.644357016390513
"CAFA","APC6","APC6_CAFA","Dolichandrone atrovirens",1301,75,4,"none",52,2.5,2.5,0.470003629245735
"CAFA","APC6","APC6_CAFA","Dolichandrone atrovirens",1302,70,3.3,"none",47,1.3,2.5,0.931558204004943
"CAFA","APC6","APC6_CAFA","Dolichandrone atrovirens",1303,83,3.5,"none",52,1.9,2.5,0.610909082322973
"CAFA","APC6","APC6_CAFA","Dolichandrone atrovirens",1304,128,3.2,"none",47,1.9,2.5,0.521296923633286
"CAFA","APC6","APC6_CAFA","Dolichandrone atrovirens",1305,75,2.6,"none",56,1.3,2.5,0.693147180559945
"CAFA","APC6","APC6_CAFA","Dolichandrone atrovirens",1306,72,3,"none",46,1.1,2.5,1.00330210886378
"CAFA","APC6","APC6_CAFA","Dolichandrone atrovirens",1307,95,4,"none",66,1.4,2.5,1.04982212449868
"CAFA","APC6","APC6_CAFA","Dolichandrone atrovirens",1308,66,3.6,"none",48,1.5,2.5,0.8754687373539
"CAFA","APC6","APC6_CAFA","Dolichandrone atrovirens",1309,190,4.6,"none",79,2.1,2.5,0.784118958765672
"CAFA","APC6","APC6_CAFA","Dolichandrone atrovirens",1310,156,5.2,"none",70,2.5,2.5,0.732367893713227
"CAFA","APC6","APC6_CAFA","Dolichandrone atrovirens",1311,75,4.6,"none",50,2.5,2.5,0.609765571620894
"CAFA","APC6","APC6_CAFA","Dolichandrone atrovirens",1312,140,3.9,"none",88,1.7,2.5,0.83034830207343
"CAFA","APC6","APC6_CAFA","Dolichandrone atrovirens",1313,100,3.3,"none",75,1.9,2.5,0.55206858230004
"CAFA","APC6","APC6_CAFA","Dolichandrone atrovirens",1314,98,4.5,"none",73,1.9,2.5,0.862223510603879
"CAFA","APC6","APC6_CAFA","Dolichandrone atrovirens",1315,123,4.5,"none",89,2.5,2.5,0.587786664902119
"CAFA","APC6","APC6_CAFA","Dolichandrone atrovirens",1317,61,2.7,"none",44,1.7,2.5,0.462623521948113
"CAFA","APC6","APC6_CAFA","Pongamia pinnata",1318,86,2.7,"none",51,1.6,2.5,0.523248143764548
"CAFA","APC6","APC6_CAFA","Dolichandrone atrovirens",1319,130,5.1,"none",78,3,2.5,0.53062825106217
"CAFA","APC6","APC6_CAFA","Dolichandrone atrovirens",1321,61,2.2,"none",30,2.1,2.5,0.0465200156348929
"CAFA","APC6","APC6_CAFA","Dolichandrone atrovirens",1322,76,4.2,"none",40,1.9,2.5,0.793230639116928
"CAFA","APC6","APC6_CAFA","Dolichandrone atrovirens",1323,65,3.3,"none",54,1.1,2.5,1.09861228866811
"CAFA","APC6","APC6_CAFA","Dolichandrone atrovirens",1324,125,4,"none",74,1.8,2.5,0.798507696217772
"CAFA","APC6","APC6_CAFA","Dolichandrone atrovirens",1325,75,4,"none",50,1.6,2.5,0.916290731874155
"CAFA","APC6","APC6_CAFA","Dolichandrone atrovirens",1326,75,3.4,"none",43,1.3,2.5,0.961411167154625
"CAFA","APC5","APC5_CAFA","Dolichandrone atrovirens",1327,120,2.4,"none",75,1.9,0.21,0.233614851181505
"CAFA","APC6","APC6_CAFA","Dolichandrone atrovirens",1327,60,3.7,"none",40,1.9,2.5,0.666478933477784
"CAFA","APC5","APC5_CAFA","Dolichandrone atrovirens",1328,50,1.6,"browsed",30,0.8,0.21,0.693147180559945
"CAFA","APC6","APC6_CAFA","Dolichandrone atrovirens",1328,75,4.1,"none",68,2.7,2.5,0.417735200699979
"CAFA","APC5","APC5_CAFA","Dolichandrone atrovirens",1329,100,1.8,"browsed",78,1.3,0.21,0.325422400434628
"CAFA","APC5","APC5_CAFA","Dolichandrone atrovirens",1330,100,2.3,"browsed",43,1.2,0.21,0.650587566141149
"CAFA","APC6","APC6_CAFA","Dolichandrone atrovirens",1330,85,4.1,"none",72,1.9,2.5,0.769133087537867
"CAFA","APC5","APC5_CAFA","Premna tomentosa",1331,110,2.3,"none",68,1.3,0.21,0.570544858467613
"CAFA","APC6","APC6_CAFA","Dolichandrone atrovirens",1331,60,3.3,"none",42,1.3,2.5,0.931558204004943
"CAFA","APC5","APC5_CAFA","Azadirachata indica",1332,50,0.7,"none",30,0.5,0.21,0.336472236621213
"CAFA","APC6","APC6_CAFA","Dolichandrone atrovirens",1332,116,3.6,"none",51,1.6,2.5,0.810930216216329
"CAFA","APC5","APC5_CAFA","Dolichandrone atrovirens",1333,50,1.2,"browsed",22,0.8,0.21,0.405465108108164
"CAFA","APC6","APC6_CAFA","Dolichandrone atrovirens",1333,135,4,"none",63,1.9,2.5,0.744440474947496
"CAFA","APC5","APC5_CAFA","Dolichandrone atrovirens",1334,70,2.8,"none",42,1.1,0.21,0.934309237376833
"CAFA","APC5","APC5_CAFA","Dolichandrone atrovirens",1335,100,2.4,"none",62,1.3,0.21,0.613104472886409
"CAFA","APC6","APC6_CAFA","Dolichandrone atrovirens",1335,131,4.1,"none",81,2.1,2.5,0.669049628980885
"CAFA","APC5","APC5_CAFA","Dolichandrone atrovirens",1336,50,1.4,"none",23,0.8,0.21,0.559615787935423
"CAFA","APC6","APC6_CAFA","Dolichandrone atrovirens",1336,100,4,"none",47,1.7,2.5,0.85566611005772
"CAFA","APC5","APC5_CAFA","Dolichandrone atrovirens",1337,60,2.5,"browsed",43,1.9,0.21,0.27443684570176
"CAFA","APC6","APC6_CAFA","Dolichandrone atrovirens",1337,122,4.1,"browsed",68,2,2.5,0.717839793150317
"CAFA","APC5","APC5_CAFA","Dolichandrone atrovirens",1338,100,2.8,"none",70,1.6,0.21,0.559615787935422
"CAFA","APC6","APC6_CAFA","Dolichandrone atrovirens",1338,117,3.9,"none",37,1.6,2.5,0.890972923889865
