"","sci.name","lat","long","altitude","treatment"
"75","Tectona grandis","13.8955708","78.47727534",455,"CAFA"
"76","Dolichandrone atrovirens","13.93983946","78.49351139",471,"CAFA"
"77","Dolichandrone atrovirens","13.85291772","78.44290593",488.6346436,"Control"
"78","Morinda pubescens","13.84587448","78.44886549",521.3051758,"CPFA"
"79","Chloroxylon swietenia","14.069851666666667","78.31818666666666",553,"CAFA"
"80","Dolichandrone atrovirens","13.83899995","78.41063278",539.1990967,"CAFA"
"81","Chloroxylon swietenia","13.94282253","78.50777491",407,"CPFA"
"82","Dolichandrone atrovirens","13.82899405","78.41245602",453.880127,"CAFA"
"83","Premna tomentosa","14.00875475","78.32053347",514.0558472,"CAFA"
"84","Cassia fistula","14.065053333333333","78.31969333333333",532.8,"CAFA"
"85","Chloroxylon swietenia","13.9429074","78.50772105",403,"CPFA"
"86","Carissa carandas","14.055478333333333","78.34324166666667",484.2,"CAFA"
"87","Chloroxylon swietenia","14.051396666666669","78.32464666666667",587.6,"CAFA"
"88","Dalbergia paniculata","14.050916666666668","78.32474833333335",579.4,"CAFA"
"89","Acacia chundra","13.89395341","78.41318874",430.5831909,"CAFA"
"90","Chloroxylon swietenia","13.94262823","78.50769513",420,"CPFA"
"91","Acacia chundra","13.82871194","78.41309773",438.1207275,"CAFA"
"92","Acacia chundra","13.89265728","78.41410058",433,"CPFA"
"93","Acacia chundra","14.11851089","78.33448425",404.3614502,"CAFA"
"94","Acacia chundra","13.84582723","78.4486189",513.8408813,"CPFA"
"95","Dolichandrone atrovirens","13.94004819","78.49549252",483,"CAFA"
"96","Wrightia tinctoria","13.81443612","78.41897068",437.2445068,"CPFA"
"97","Dolichandrone atrovirens","13.939785","78.4934499",468,"CAFA"
"98","Dolichandrone atrovirens","13.93970212","78.49325577",466,"CAFA"
"99","Dolichandrone atrovirens","13.85298634","78.44303384",502.5352783,"Control"
"100","Dolichandrone atrovirens","13.9402106","78.49537329",473,"CAFA"
"101","Chloroxylon swietenia","14.050766666666668","78.32465",576.5,"CAFA"
"102","Acacia chundra","13.82888405","78.41301234",452.7797852,"CAFA"
"103","Dalbergia paniculata","14.051021666666667","78.32465666666667",579.1,"CAFA"
"104","Dalbergia paniculata","14.064921666666665","78.31985333333334",532.2,"CAFA"
"105","Dolichandrone atrovirens","13.8374886","78.41062673",512.4124756,"Control"
"106","Dolichandrone atrovirens","13.83877813","78.41066476",523.9465332,"CAFA"
"107","Wrightia tinctoria","14.0726159","78.3636446",407,"CPFA"
"108","Premna tomentosa","13.81401939","78.41900453",457.5512695,"CPFA"
"109","Tectona grandis","13.89586589","78.47724823",457,"CAFA"
"110","Chloroxylon swietenia","13.9428231","78.50780164",407,"CPFA"
"111","Dolichandrone atrovirens","13.93975443","78.49343248",469,"CAFA"
"112","Dolichandrone atrovirens","13.93971573","78.49321304",471,"CAFA"
"113","Acacia chundra","13.89443352","78.41320931",432.9449463,"CAFA"
"114","Erythroxylum monogynum","13.85041904","78.44319609",496.6599121,"CPFA"
"115","Acacia chundra","14.11815324","78.33500675",411.3215332,"CAFA"
"116","Acacia chundra","14.11858368","78.33462986",411.7050781,"CAFA"
"117","Dalbergia paniculata","14.050743333333333","78.32432",576.5,"CAFA"
"118","Dalbergia paniculata","14.00922384","78.31995571",516.7915649,"CPFA"
"119","Acacia chundra","13.89263164","78.4140239",425,"CPFA"
"120","Acacia chundra","13.89263316","78.41390697",430,"CPFA"
"121","Cassia fistula","14.04126564","78.31801239",525.1789551,"Control"
"122","Acacia chundra","14.11846435","78.33477259",409.3668213,"CAFA"
"123","Albizia amara","13.83851855","78.41066318",532.413208,"CAFA"
"124","Albizia amara","13.83854464","78.41062505",536.2237549,"CAFA"
"125","Acacia chundra","13.89256617","78.41343909",431,"CPFA"
"126","Acacia chundra","13.89419024","78.41318288",413.0551758,"CAFA"
"127","Chloroxylon swietenia","13.82793416","78.41316349",466.9602051,"Control"
"128","Dolichandrone atrovirens","14.11853046","78.33467922",406.9956055,"CAFA"
"129","Dolichandrone atrovirens","13.83856975","78.41075959",526.0534668,"CAFA"
"130","Acacia chundra","13.89266041","78.41412364",434,"CPFA"
"131","Dolichandrone atrovirens","13.84578962","78.44849967",505.3372803,"CPFA"
