,site,village,treatment,tag.no,sci.name,dead.alive,height,rcd,disturbance,flame.height,type.resprout
118,APC7_CAFA,APC7,CAFA,4554,Dolichandrone atrovirens,alive,65,19,none,0,regular_growth
119,APC7_CAFA,APC7,CAFA,4547,Dolichandrone atrovirens,alive,74,29,none,0,regular_growth
120,APC7_CAFA,APC7,CAFA,4548,Dolichandrone atrovirens,alive,45,19,none,0,regular_growth
121,APC7_CAFA,APC7,CAFA,4532,Dolichandrone atrovirens,alive,31,11,none,0,regular_growth
122,APC7_CAFA,APC7,CAFA,4553,Dolichandrone atrovirens,alive,45,13,none,0,regular_growth
123,APC7_CAFA,APC7,CAFA,4551,Pongamia pinnata,dead,NA,NA,trampled,0,NA
124,APC7_CAFA,APC7,CAFA,4550,Dolichandrone atrovirens,alive,34,4,browsed,0,collar
125,APC7_CAFA,APC7,CAFA,4552,Dalbergia paniculata,alive,92,22,none,0,regular_growth
126,APC7_CAFA,APC7,CAFA,4546,Dolichandrone atrovirens,alive,29,3,browsed,0,collar
127,APC7_CAFA,APC7,CAFA,4545,Dolichandrone atrovirens,alive,39,5,browsed,0,collar
128,APC7_CAFA,APC7,CAFA,4538,Dolichandrone atrovirens,alive,31,19,none,0,regular_growth
129,APC7_CAFA,APC7,CAFA,4531,Dolichandrone atrovirens,alive,40,11,none,0,regular_growth
130,APC7_CAFA,APC7,CAFA,4536,Dolichandrone atrovirens,alive,32,6,trampled,0,collar
131,APC7_CAFA,APC7,CAFA,4537,Dolichandrone atrovirens,alive,25,8,none,0,regular_growth
132,APC7_CAFA,APC7,CAFA,4540,Syzygium cumini,alive,71,10,none,0,regular_growth
133,APC7_CAFA,APC7,CAFA,4533,Dolichandrone atrovirens,alive,15,6,none,0,regular_growth
134,APC7_CAFA,APC7,CAFA,4541,Dolichandrone atrovirens,alive,13,3,browsed,0,collar
135,APC7_CAFA,APC7,CAFA,4534,Dolichandrone atrovirens,alive,42,2,browsed,0,collar
136,APC7_CAFA,APC7,CAFA,4542,Dolichandrone atrovirens,alive,50,3,trampled,0,collar
137,APC7_CAFA,APC7,CAFA,4513,Dolichandrone atrovirens,alive,53,19,none,0,regular_growth
138,APC7_CAFA,APC7,CAFA,4518,Dolichandrone atrovirens,dead,NA,NA,trampled,0,NA
139,APC4_CPFA,APC4,CPFA,1442,Dolichandrone atrovirens,alive,122,3.8,none,0,regular_growth
140,APC6_Control,APC6,Control,4520,Dolichandrone atrovirens,alive,75,25,none,0,regular_growth
141,APC6_Control,APC6,Control,4522,Dolichandrone atrovirens,alive,60,16,none,0,regular_growth
142,APC6_Control,APC6,Control,4523,Dolichandrone atrovirens,alive,64,24,none,0,regular_growth
143,APC6_Control,APC6,Control,4524,Dolichandrone atrovirens,alive,126,32,none,0,regular_growth
144,APC6_Control,APC6,Control,4509,Dolichandrone atrovirens,alive,210,44,none,0,regular_growth
145,APC6_Control,APC6,Control,4508,Dolichandrone atrovirens,alive,56,23,none,0,regular_growth
146,APC6_Control,APC6,Control,4526,Dolichandrone atrovirens,alive,36,6,fire,20,collar
147,APC6_Control,APC6,Control,4527,Dolichandrone atrovirens,alive,30,5,fire,30,collar
148,APC6_Control,APC6,Control,4529,Dolichandrone atrovirens,alive,145,29,none,0,regular_growth
149,APC6_Control,APC6,Control,4528,Dolichandrone atrovirens,alive,190,29,none,0,regular_growth
150,APC6_Control,APC6,Control,4530,Dolichandrone atrovirens,alive,125,42,none,0,regular_growth
151,APC4_CPFA,APC4,CPFA,1443,Acacia chundra,alive,16,1.4,none,0,regular_growth
152,APC6_Control,APC6,Control,4505,Dolichandrone atrovirens,alive,106,11,fire,50,collar
153,APC6_Control,APC6,Control,4514,Dolichandrone atrovirens,alive,50,10,none,0,regular_growth
154,APC6_Control,APC6,Control,4511,Dolichandrone atrovirens,alive,90,19,none,0,regular_growth
155,APC6_Control,APC6,Control,4525,Dolichandrone atrovirens,dead,NA,NA,fire,40,NA
156,APC4_CPFA,APC4,CPFA,1444,Dolichandrone atrovirens,alive,60,2.1,browsed,0,axillary
157,APC4_CPFA,APC4,CPFA,1445,Dolichandrone atrovirens,alive,14,1.4,drought,0,collar
158,APC4_CPFA,APC4,CPFA,1446,Acacia chundra,alive,63,1.3,none,0,regular_growth
159,APC4_CPFA,APC4,CPFA,1447,Acacia chundra,alive,120,1.6,none,0,regular_growth
160,APC4_CPFA,APC4,CPFA,1448,Dolichandrone atrovirens,alive,109,2.5,browsed,0,axillary
161,APC4_CPFA,APC4,CPFA,1449,Acacia chundra,alive,99,2.2,none,0,regular_growth
162,APC4_CPFA,APC4,CPFA,1450,Acacia chundra,alive,105,2.6,none,0,regular_growth
163,APC4_CPFA,APC4,CPFA,1451,Acacia chundra,alive,126,3.1,none,0,regular_growth
164,APC4_CPFA,APC4,CPFA,1452,Acacia chundra,alive,29,1.3,none,0,regular_growth
165,APC4_CPFA,APC4,CPFA,1453,Dolichandrone atrovirens,alive,15,1.1,drought,0,collar
166,APC4_CPFA,APC4,CPFA,1455,Acacia chundra,alive,70,1.6,none,0,regular_growth
167,APC4_CPFA,APC4,CPFA,1456,Acacia chundra,alive,71,2.7,none,0,regular_growth
168,APC4_CPFA,APC4,CPFA,1457,Acacia chundra,alive,43,1.8,none,0,regular_growth
169,APC4_CPFA,APC4,CPFA,1458,Acacia chundra,alive,11,1.3,none,0,regular_growth
170,APC4_CPFA,APC4,CPFA,1459,Cassia fistula,alive,20,0.5,none,0,regular_growth
171,APC4_CPFA,APC4,CPFA,1460,Dolichandrone atrovirens,alive,62,1.6,browsed,0,axillary
172,APC4_CPFA,APC4,CPFA,1462,Morinda pubescens,alive,22,1.2,none,0,regular_growth
173,APC4_CPFA,APC4,CPFA,1464,Acacia chundra,alive,93,1.8,none,0,regular_growth
174,APC7_CPFA,APC7,CPFA,3747,Chloroxylon swietenia,alive,104,19,none,0,regular_growth
175,APC7_CPFA,APC7,CPFA,3746,Chloroxylon swietenia,alive,105,25,none,0,regular_growth
176,APC7_CPFA,APC7,CPFA,3748,Chloroxylon swietenia,alive,110,20,none,0,regular_growth
177,APC7_CPFA,APC7,CPFA,3728,Chloroxylon swietenia,alive,82,17,none,0,regular_growth
178,APC7_CPFA,APC7,CPFA,3733,Chloroxylon swietenia,alive,100,24,none,0,regular_growth
179,APC7_CPFA,APC7,CPFA,3744,Chloroxylon swietenia,alive,89,20,none,0,regular_growth
180,APC7_CPFA,APC7,CPFA,3745,Chloroxylon swietenia,alive,103,18,none,0,regular_growth
181,APC7_CPFA,APC7,CPFA,3741,Chloroxylon swietenia,alive,30,8,none,0,regular_growth
182,APC7_CPFA,APC7,CPFA,3750,Chloroxylon swietenia,alive,40,10,none,0,regular_growth
183,APC7_CPFA,APC7,CPFA,3751,Chloroxylon swietenia,alive,33,8,none,0,regular_growth
184,APC7_CPFA,APC7,CPFA,3743,Chloroxylon swietenia,alive,85,18,none,0,regular_growth
185,APC7_CPFA,APC7,CPFA,3706,Chloroxylon swietenia,alive,70,15,none,0,regular_growth
186,APC7_CPFA,APC7,CPFA,3707,Chloroxylon swietenia,alive,75,20,none,0,regular_growth
187,APC7_CPFA,APC7,CPFA,3708,Chloroxylon swietenia,alive,55,10,none,0,regular_growth
188,APC7_CPFA,APC7,CPFA,3702,Chloroxylon swietenia,alive,48,8,none,0,regular_growth
189,APC7_CPFA,APC7,CPFA,3701,Chloroxylon swietenia,alive,75,10,none,0,regular_growth
190,APC7_CPFA,APC7,CPFA,3723,Chloroxylon swietenia,alive,70,10,none,0,regular_growth
191,APC7_CPFA,APC7,CPFA,3759,Chloroxylon swietenia,alive,120,20,none,0,regular_growth
