site_code,sapling_name,sapling_tag_no,treatment,type_recruit,Note on revisit,sapling_coordinate,sapling_altitude,sapling_coordinate-accuracy,sapling_height (cm),sapling_rcd (cm),sapling_line_to_sapling (m),sapling_to_sapling (m),sapling_disturbance,PARENT_KEY,KEY,site
APC6,Dolichandrone atrovirens,1356,bodha_grass_removed_no_fire,seedling recruitment,,"13.93981397,78.49371608",466,4.288,95,2.5,5,0.3,none,uuid:76e9de80-2bcb-42b8-9353-8c698af54ff6,uuid:76e9de80-2bcb-42b8-9353-8c698af54ff6/sapling_repeat[91],APC6bodha_grass_removed_no_fire
APC1,Acacia chundra,1041,bodha_grass_present_no_fire,clonal offspring,,"13.85035228,78.44377532",503.5070801,4.288,93,1.2,0.7,1.2,none,uuid:a332e100-79f6-41db-9d9f-0482892368f4,uuid:a332e100-79f6-41db-9d9f-0482892368f4/sapling_repeat[2],APC1bodha_grass_present_no_fire
APA17,Dolichandrone atrovirens,4736,bodha_grass_present_no_fire,clonal offspring,,"14.11816252,78.3335273",393.6987305,3.216,93,1.7,9,3,none,uuid:02f207ad-3edd-4db8-8f20-abc63430a887,uuid:02f207ad-3edd-4db8-8f20-abc63430a887/sapling_repeat[7],APA17bodha_grass_present_no_fire
APC4,Acacia chundra,1456,bodha_grass_present_no_fire,seedling recruitment,,"13.84578222,78.44874165",514.9238892,4.288,93,1.9,6,3,none,uuid:65cc4ceb-42ae-43e1-9f3e-daae5612fa8f,uuid:65cc4ceb-42ae-43e1-9f3e-daae5612fa8f/sapling_repeat[14],APC4bodha_grass_present_no_fire
APA17,Dolichandrone atrovirens,4748,bodha_grass_removed_no_fire,seedling recruitment,,"14.1185286,78.33474729",410.0886841,4.288,92,1.6,8.5,2.5,none,uuid:77469c3b-b5a4-4108-9ce3-3ebddf4d94a3,uuid:77469c3b-b5a4-4108-9ce3-3ebddf4d94a3/sapling_repeat[21],APA17bodha_grass_removed_no_fire
APA1,Wrightia tinctoria,3463,bodha_grass_removed_no_fire,clonal offspring,,"14.064646666666667,78.3197",533,5,92,1.7,3,0.3,none,uuid:d017be59-bbc1-47bd-a044-da7cac8c4de3,uuid:d017be59-bbc1-47bd-a044-da7cac8c4de3/sapling_repeat[16],APA1bodha_grass_removed_no_fire
APC12,Acacia chundra,4692,bodha_grass_present_no_fire,seedling recruitment,,"13.89259261,78.41367279",424,4.5509996,91,0.8,0.4,2,none,uuid:21ad8535-3e2e-4066-88cc-bec794453533,uuid:21ad8535-3e2e-4066-88cc-bec794453533/sapling_repeat[13],APC12bodha_grass_present_no_fire
APA19,Chloroxylon swietenia,1029,bodha_grass_removed_no_fire,clonal offspring,,"14.050988333333331,78.32476333333334",553.4,5,91,1.2,5,1,none,uuid:b534d176-bf85-411a-a5ae-8b722ebe957d,uuid:b534d176-bf85-411a-a5ae-8b722ebe957d/sapling_repeat[29],APA19bodha_grass_removed_no_fire
APC7,Chloroxylon swietenia,3746,bodha_grass_present_no_fire,seedling recruitment,,"13.9429603,78.50781456",402,4.288,91,1.8,0,0.5,none,uuid:5ae5bcfd-0dd3-4101-86a7-9360a79f93e3,uuid:5ae5bcfd-0dd3-4101-86a7-9360a79f93e3/sapling_repeat[1],APC7bodha_grass_present_no_fire
APC1,Tectona grandis,1034,bodha_grass_removed_no_fire,seedling recruitment,,"13.84885622,78.42865609",453,4.288,90,0.5,0,3,none,uuid:1bba5eee-3eda-4d8a-ba40-2a8f3bb568f7,uuid:1bba5eee-3eda-4d8a-ba40-2a8f3bb568f7/sapling_repeat[19],APC1bodha_grass_removed_no_fire
