site,sp._tree,n_trees,sp._seedling,other_sp._tree,treatment,LUI,seedling,Goat,Trenches,N_goat,trenchArea,no_trenches,trench-length,trench-width,No1,No2,No3,No4,No5,No6,No7,No8,No9,No10,No11,No12,No13,No14,No15,No16,No17,No18,No19,No20,No21,No22,No23,No24,No25,No26,No27,No28,No29,No30,No31,No32,No33,No34,No35,No36,No37,No38,No39,No40,No41,No42,No43,No44,No45,No46,No47,No48,No49,No50,No51,No52,No53,No54,No55,No56,57,58,59,data-trench-image_t,data-image_end,data-image_start,data-soil_erosion,data-lopping,data-fuelwood,data-fire19,data-trench-type,groundcover_bodha,data-latlong,tree_sp.,,,site
APA17_CAFA,3,9,4,-1,open,0.86,18,1.16,0.57,100,4.2,1,4.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/open?id=1eqnTC82QhvTzvUmLIM3gD8x3xQ5JJtm2,https://drive.google.com/open?id=1pzLV-qXW9asgUR66E8iPIvDQTLG1P9_d,https://drive.google.com/open?id=1_CaT3S2eVyF0cqU6KCklFTaNYE4iXbD6,?rill erosion,no,no,yes,ST,80,"14.1181729,78.3349976",,,,APA18bgpnf
APA7_Control,0,0,1,-1,moderate,0.87,3,1.74,0,150,0,,,,203,203,204,298,187,267,321,342,311,100,234,312,342,61,78,305,318,223,287,371,93,341,112,131,211,218,312,319,256,259,198,331,178,196,104,231,117,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/open?id=1xXVili4DfLk7eCwDMxoeHv-eS67Z_jim,https://drive.google.com/open?id=1PIR6ncTnrAH6DSHJ5pKzmm24jSviiYhd,?rill erosion,no,no,yes,ST,80,"14.0280456,78.3761509",,,,APC2bgrnf
APC11_Control,0,0,0,0,moderate,0.87,0,1.74,0,150,0,,,,243,271,202,233,223,213,198,214,289,297,234,254,289,287,310,289,278,298,293,180,189,217,219,231,177,228,187,113,189,169,218,279,200,267,214,256,276,286,228,231,271,298,,,,,,,,,,,,,,,,,,https://drive.google.com/open?id=1xKLqKp-AjnC9NFZB8JCo1usKUhNxy4nB,https://drive.google.com/open?id=1vOIX6fkkaGp41QVCpZnToK3JsRCX9V59,https://drive.google.com/open?id=166KESFJPd_UmElyp6WJ0Fakgh487JQE-,no,no,no,yes,,90,"13.837937,78.4105962",,,,APC10ab
APA1_Control,1,1,3,-2,moderate,0.87,14,0.75,0.99,65,7.35,4.2,2.5,0.7,198,186,304,52,52,294,298,76,350,104,302,300,56,87,209,287,300,300,48,67,89,102,300,58,109,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/open?id=1bRyg1k4Rpx9mPPnhDqHpP_r1Ufk1Qmyz,https://drive.google.com/open?id=1aLXxXTT_cZlLtHRmjStdoi7Q-cWAfKyS,https://drive.google.com/open?id=1t_YWKi0vgSeT0g6UZzOIaibODr23VS_n,no,yes,yes,yes,ST,40,"14.0693954,78.3355702",,,,APA17bgrnf
APA18_CPFA,6,11,5,1,dense,0.87,24,1.51,0.24,130,1.8,1,2,0.9,78,213,154,317,221,214,78,176,134,80,117,218,217,321,228,228,118,70,228,202,280,231,321,300,179,398,300,222,176,200,276,278,250,150,290,289,291,300,98,228,281,245,272,,,,,,,,,,,,,,,,,,https://drive.google.com/open?id=1aG1yBFTTKojZzcxqCA5o71LXXYOML8mC,https://drive.google.com/open?id=1WW0GuexUozF0LIg1Z5hUJqAF7GwEiBCn,?rill erosion,no,no,yes,,,"14.0586892,78.3377172",,,,APA10bgpnf
APA20_CAFA,7,11,4,3,open,0.9,31,0.93,0.87,80,6.48,1.8,4,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/open?id=1U64LnWVt-ZVSCGoNatUoW84JhYLcmH7P,https://drive.google.com/open?id=1w2Re5YftZTuYEwi0nWtaBPzmg5Oh_15k,?rill erosion,yes,no,yes,,,"14.0784771,78.329081",,,,APA19ab
APC8_CAFA,4,6,3,1,open,0.94,29,0.81,1.08,70,8,3.2,2.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/open?id=1cTJBAwV4Z446EnzKNxHzeNPwzhXJB9Of,https://drive.google.com/open?id=1ikaq7I1hbzE9qhAhAc6usWFetxSG_eKd,?rill erosion,yes,no,yes,,,"13.8737925,78.5280008",,,,APA1ab
APC9_CAFA,5,7,3,2,open,1,41,1.51,0.5,130,3.7,1,3.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/open?id=1CxgHJ2K4Ncrtjsfl6OgEIgriD-aAaryf,https://drive.google.com/open?id=1G1sf80KwN7zmv0oPoVoPXV7RGp6vXHKz,no,no,no,yes,,60,"13.8734111,78.5286271",,,,APA18bgrnf
APC1_CPFA,4,11,3,1,dense,1,8,1.16,0.85,100,6.3,2,3.5,0.9,176,241,215,117,201,90,198,197,257,316,289,278,245,316,317,313,295,289,291,294,80,306,290,213,313,100,309,298,308,291,312,291,287,304,298,287,90,303,235,178,196,167,,,,,,,,,,,,,,,,,,https://drive.google.com/open?id=1tV9JvQmQzMZAgjrQSG269YkBP1ahtVhv,https://drive.google.com/open?id=1YFIucN_rJBOs-IJBFOSoxoyKTG-O668q,https://drive.google.com/open?id=1El709TZfBmaMUk3MvNChSdnP2a-GXzCJ,?sheet erosion,no,no,yes,ST,,"13.8504882,78.4431105",,,,APC14bgrnf
APA18_CAFA,2,10,3,-1,open,1.02,13,1.51,0.54,130,4,2,2.5,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/open?id=1vdfaaD5rBfaeTvp2_4FANN3y8XHVAgdS,https://drive.google.com/open?id=1rFgVIZa7NjFMdFcCggyBk_kxdBOueSpe,https://drive.google.com/open?id=1vJoptXnVFVzWvRz8pCJqAiRo8A_4CtNC,?rill erosion,no,no,yes,ST,,"14.0556529,78.3436506",,,,APC1bgrnf
