"","site","village","sci.name","tag.no","treatment","recruit.type","height","rcd","lat","long","altitude","disturbance"
"187","APC6_CAFA","APC6","Dolichandrone atrovirens",4575,"CAFA","seedling recruitment",74,2,"13.93961093","78.49329068",474,"none"
"188","APC6_Control","APC6","Dolichandrone atrovirens",4524,"Control","clonal offspring",74,2.1,"13.94088377","78.49461135",452,"none"
"189","APC6_CAFA","APC6","Dolichandrone atrovirens",1365,"CAFA","seedling recruitment",74,2.4,"13.9396831","78.49328979",466,"none"
"190","APC6_CAFA","APC6","Dolichandrone atrovirens",1347,"CAFA","seedling recruitment",74,2.7,"13.93968062","78.49324316",475,"none"
"191","APC8_CAFA","APC8","Tamarindus indica",3711,"CAFA","seedling recruitment",73,0.5,"13.87383074","78.52805846",433,"none"
"192","APA1_Control","APA1","Cassia fistula",1184,"Control","clonal offspring",73,0.8,"14.073023333333333","78.32021333333334",548.8,"none"
"193","APA1_CAFA","APA1","Dalbergia paniculata",3454,"CAFA","clonal offspring",73,1.2,"14.064996666666666","78.319715",532.4,"none"
"194","APA19_CAFA","APA19","Chloroxylon swietenia",1022,"CAFA","clonal offspring",73,1.2,"14.051588333333333","78.32454833333333",588.8,"none"
"195","APC4_CPFA","APC4","Acacia chundra",1449,"CPFA","seedling recruitment",73,1.4,"13.84584642","78.44860163",517.9237061,"none"
"196","APA1_CAFA","APA1","Dalbergia paniculata",3452,"CAFA","seedling recruitment",73,1.6,"14.064886666666666","78.319725",533.4,"none"
"197","APC6_CAFA","APC6","Dolichandrone atrovirens",1314,"CAFA","seedling recruitment",73,1.9,"13.93984055","78.49356348",465,"none"
"198","APC9_CAFA","APC9","Limonia acidissima",3769,"CAFA","seedling recruitment",72,1,"13.87329593","78.52937046",446,"none"
"199","APA7_Control","APA7","Carissa carandas",3912,"Control","clonal offspring",72,1.4,"14.02779541","78.37591848",412,"browsed"
"200","APC4_CAFA","APC4","Dolichandrone atrovirens",1429,"CAFA","seedling recruitment",72,1.6,"13.84348678","78.42113938",487.6100464,"none"
"201","APC6_CAFA","APC6","Dolichandrone atrovirens",1330,"CAFA","seedling recruitment",72,1.9,"13.93984491","78.49358452",465,"none"
"202","APC6_CAFA","APC6","Dolichandrone atrovirens",1379,"CAFA","seedling recruitment",72,2.4,"13.93964617","78.49324239",472,"none"
"203","APC4_CPFA","APC4","Dolichandrone atrovirens",1442,"CPFA","don't_know",72,3.4,"13.84576371","78.44836632",506.4486084,"none"
"204","APA7_CAFA","APA7","Chloroxylon swietenia",3948,"CAFA","seedling recruitment",71,1.8,"14.02249063","78.38123701",451,"browsed"
"205","APC6_Control","APC6","Dolichandrone atrovirens",4528,"Control","clonal offspring",71,1.8,"13.94074466","78.49432419",443,"none"
"206","APC6_CAFA","APC6","Dolichandrone atrovirens",4573,"CAFA","seedling recruitment",71,2.1,"13.93974409","78.49352855",464,"none"
"207","APC6_Control","APC6","Dolichandrone atrovirens",4530,"Control","clonal offspring",71,3.2,"13.94070121","78.49421453",424,"none"
"208","APA17_CAFA","APA17","Acacia chundra",4759,"CAFA","seedling recruitment",70,0.6,"14.11835814","78.33471955",402.8436279,"none"
"209","APA18_CPFA","APA18","Azadirachata indica",1108,"CPFA","seedling recruitment",70,0.6,"14.058341666666669","78.33714333333334",529,"none"
"210","APA21_CAFA","APA21","Dalbergia paniculata",4943,"CAFA","clonal offspring",70,0.7,"14.00868839","78.32076852",505.0006104,"none"
"211","APA12_Control","APA12","Cassia fistula",4796,"Control","clonal offspring",70,0.8,"14.04136397","78.31833475",538.0395508,"none"
"212","APA16_CAFA","APA16","Acacia chundra",4784,"CAFA","seedling recruitment",70,0.8,"14.11625782","78.34030917",402.5698242,"none"
"213","APA19_CAFA","APA19","Chloroxylon swietenia",1008,"CAFA","seedling recruitment",70,0.8,"14.050683333333332","78.32430500000001",576.6,"none"
"214","APC12_CAFA","APC12","Acacia chundra",4668,"CAFA","seedling recruitment",70,0.8,"13.8942374","78.41322109",437.4665527,"none"
"215","APC12_CPFA","APC12","Acacia chundra",4690,"CPFA","seedling recruitment",70,0.8,"13.89256814","78.41369749",410,"none"
"216","APC4_CPFA","APC4","Acacia chundra",1446,"CPFA","seedling recruitment",70,0.8,"13.84580003","78.44847847",508.7994385,"none"
"217","APA1_CAFA","APA1","Cassia fistula",3457,"CAFA","seedling recruitment",70,0.9,"14.064858333333332","78.31972999999999",532.4,"none"
"218","APC12_CPFA","APC12","Acacia chundra",4685,"CPFA","seedling recruitment",70,0.9,"13.89261315","78.41358809",430,"none"
"219","APC4_CPFA","APC4","Acacia chundra",1443,"CPFA","clonal offspring",70,0.9,"13.84576802","78.44838235",502.9470215,"none"
"220","APA1_CAFA","APA1","Wrightia tinctoria",3460,"CAFA","clonal offspring",70,1.1,"14.064705","78.31954333333333",532.4,"none"
"221","APC10_CAFA","APC10","Acacia chundra",4657,"CAFA","clonal offspring",70,1.1,"13.86531825","78.39845262",422.2953491,"none"
"222","APC10_CAFA","APC10","Wrightia tinctoria",4645,"CAFA","seedling recruitment",70,1.1,"13.86488088","78.39869167",422.9866333,"none"
"223","APC3_CAFA","APC3","Chloroxylon swietenia",1494,"CAFA","clonal offspring",70,1.1,"13.82882083","78.41307557",440.3088989,"none"
"224","APA12_CAFA","APA12","Azadirachata indica",4910,"CAFA","seedling recruitment",70,1.2,"14.04040686","78.31747679",545.6171875,"none"
"225","APC10_CAFA","APC10","Wrightia tinctoria",4656,"CAFA","seedling recruitment",70,1.2,"13.86527626","78.39830979",421.2874756,"none"
"226","APC12_CAFA","APC12","Wrightia tinctoria",4679,"CAFA","seedling recruitment",70,1.2,"13.89368693","78.41345407",439.8873291,"none"
"227","APC12_CAFA","APC12","Acacia chundra",4677,"CAFA","seedling recruitment",70,1.2,"13.89424258","78.41321195",437.902832,"none"
"228","APC12_CPFA","APC12","Acacia chundra",3283,"CPFA","clonal offspring",70,1.2,"13.89264979","78.41409174",434,"none"
"229","APC3_Control","APC3","Chloroxylon swietenia",1306,"Control","clonal offspring",70,1.2,"13.82803554","78.41311241",464.0291138,"none"
"230","APA17_CAFA","APA17","Dolichandrone atrovirens",4762,"CAFA","clonal offspring",70,1.3,"14.11834731","78.33489264",404.4110107,"none"
"231","APC1_CPFA","APC1","Acacia chundra",1066,"CPFA","clonal offspring",70,1.3,"13.85048124","78.44356292",488.4768066,"none"
"232","APC1_CPFA","APC1","Dolichandrone atrovirens",1065,"CPFA","clonal offspring",70,1.3,"13.85036603","78.44358455",487.8633423,"none"
"233","APC12_CAFA","APC12","Acacia chundra",4666,"CAFA","clonal offspring",70,1.3,"13.89430432","78.41321656",430.3834229,"none"
"234","APC8_CAFA","APC8","Chloroxylon swietenia",3707,"CAFA","clonal offspring",70,1.3,"13.87323193","78.52811394",452,"none"
